time,stock,signal,price,confidence,regime
2026-05-06 05:41:10,BBCA.JK,BUY,5950.0,,
2026-05-06 05:41:11,BBRI.JK,BUY,3140.0,,
2026-05-06 05:41:12,TLKM.JK,BUY,2890.0,,
2026-05-06 05:52:15,BBCA.JK,BUY,5950.0,,
2026-05-06 05:52:15,BBRI.JK,BUY,3140.0,,
2026-05-06 05:52:16,TLKM.JK,BUY,2890.0,,
2026-05-06 06:01:31,BBCA.JK,BUY,5950.0,,
2026-05-06 06:01:32,BBRI.JK,BUY,3140.0,,
2026-05-06 06:01:33,TLKM.JK,BUY,2890.0,,
2026-05-06 06:15:30,BBCA.JK,BUY,5950.0,,
2026-05-06 06:15:31,BBRI.JK,BUY,3140.0,,
2026-05-06 06:15:31,TLKM.JK,BUY,2890.0,,
2026-05-06 06:45:17,BBCA.JK,HOLD,5950.0,,
2026-05-06 06:45:17,BBRI.JK,HOLD,3140.0,,
2026-05-06 06:45:18,TLKM.JK,HOLD,2900.0,,
2026-05-07 05:45:05,BBCA.JK,BUY,6050.0,100.0,TRENDING
2026-05-07 05:45:05,BBRI.JK,BUY,3230.0,100.0,TRENDING
2026-05-07 05:45:05,TLKM.JK,BUY,2940.0,100.0,TRENDING
2026-05-07 05:57:38,BBCA.JK,BUY,6050.0,100.0,TRENDING
2026-05-07 05:57:38,BBRI.JK,BUY,3230.0,100.0,TRENDING
2026-05-07 05:57:38,TLKM.JK,BUY,2940.0,100.0,TRENDING
2026-05-07 06:10:40,BBCA.JK,HOLD,0.0,0.0,UNKNOWN
2026-05-07 06:10:40,BBRI.JK,HOLD,0.0,0.0,UNKNOWN
2026-05-07 06:10:41,TLKM.JK,HOLD,0.0,0.0,UNKNOWN
2026-05-07 06:14:10,BBCA.JK,HOLD,0.0,0.0,UNKNOWN
2026-05-07 06:14:10,BBRI.JK,HOLD,0.0,0.0,UNKNOWN
2026-05-07 06:14:10,TLKM.JK,HOLD,0.0,0.0,UNKNOWN
2026-05-07 06:18:18,BBCA.JK,HOLD,0.0,0.0,SIDEWAYS
2026-05-07 06:18:18,BBRI.JK,HOLD,0.0,0.0,TRENDING
2026-05-07 06:18:18,TLKM.JK,HOLD,0.0,0.0,TRENDING
2026-05-07 06:21:55,BBCA.JK,HOLD,0.0,0.0,SIDEWAYS
2026-05-07 06:21:55,BBRI.JK,HOLD,0.0,0.0,TRENDING
2026-05-07 06:21:55,TLKM.JK,HOLD,0.0,0.0,TRENDING
2026-05-07 06:25:21,BBCA.JK,HOLD,0.0,0.0,SIDEWAYS
2026-05-07 06:25:22,BBRI.JK,HOLD,0.0,0.0,TRENDING
2026-05-07 06:25:22,TLKM.JK,HOLD,0.0,0.0,TRENDING
2026-05-07 06:30:36,BBCA.JK,HOLD,6050.0,25.0,WEAK
2026-05-07 06:30:36,BBRI.JK,HOLD,3230.0,45.0,SIDEWAYS
2026-05-07 06:30:36,TLKM.JK,HOLD,2940.0,25.0,WEAK
